# 成绩导入示例文件
# 格式: 学号,课程名,学分,成绩
# 说明: 可以为学生添加新的课程成绩,系统会自动计算加权平均分

2021001,线性代数,3.0,86.0
2021001,离散数学,3.0,88.0
2021002,线性代数,3.0,92.0
2021002,离散数学,3.0,90.0
2021003,数据库原理,4.0,83.0
2021003,软件工程,3.0,85.0
2021004,线性代数,3.0,89.0
2021004,离散数学,3.0,91.0
2021005,统计学,3.0,90.0
2021005,机器学习,4.0,87.0
2021006,计算机视觉,3.0,89.0
2021006,自然语言处理,3.0,90.0
2021007,线性代数,3.0,80.0
2021007,离散数学,3.0,82.0
2021008,线性代数,3.0,95.0
2021008,离散数学,3.0,93.0
2021009,数据库原理,4.0,84.0
2021009,软件工程,3.0,86.0
2021010,线性代数,3.0,88.0
2021010,离散数学,3.0,90.0
